name,description,address,city,region,country,city tags,category,phone,email,website,instagram,status,submittedBy,latitude,longitude,GroceryAndMarket,glutenFree,dairyFree,Nut free,vegan,bio/organic,localFarms,fresh vegetables,farmRaisedMeat,NoProcessed foods,kidFriendly snacks,bulkBuying options,zeroWaste,Badges,Supplements,General Supplements,Omega-3,VeganSup,OnlineRetailer,Vitamins,HerbalRemedies,OrganicSup,SportsNutrtion,PractionerGrade,Hypoallergenic
Aldea Coop,"A sustainability-minded cooperative shop in Sintra offering organic bulk goods and refillable household items. A great option for low-waste, community-supported shopping.","Largo Visc. da Asseca 6A, 2710-277 Sintra, Portugal",Sintra,Lisbon,Portugal,Sintra,grocery,+351211352699,coopjanas@gmail.com ,https://www.coopaldea.org/,@coopaldea.org,pending,Michaele-Initial,38.82759,-9.43796,True,true,true,true,true,true,true,true,true,true,true,TRUE,TRUE,local favorite,,,,,,,,,,,
Auchan,"Large French Hypermarket chain that has a Provides a selection of dry goods and frozen items in bulk or extra-large formats, often with store-brand discounts.","Estrada Nacional 6, 2754-522 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351210403270,apoiocliente@auchan.pt,auchan.pt,@auchan_pt,pending,Michaele-Initial,38.703027,-9.420246,True,true,true,true,true,true,,,true,true,true,true,,,,,,,,,,,,,
Auchan,"Large French Hypermarket chain that has a Provides a selection of dry goods and frozen items in bulk or extra-large formats, often with store-brand discounts.","Estrada de Paço de Arcos 48, 2770-129 Paço de Arcos, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351210403270,apoiocliente@auchan.pt,auchan.pt,@auchan_pt,pending,Michaele-Initial,38.7074,-9.29414,True,true,true,true,true,true,,TRUE,true,true,true,true,,,,,,,,,,,,,
Auchan,"Large French Hypermarket chain that has a Provides a selection of dry goods and frozen items in bulk or extra-large formats, often with store-brand discounts.","R. Francisco Lyon de Castro, 2725-397 Mem Martins, Portugal",Sintra,LIsbon,Portugal,Sintra,grocery,+351210403270,apoiocliente@auchan.pt,auchan.pt,@auchan_pt,pending,Michaele-Initial,38.78068,-9.34928,True,true,true,true,true,true,,TRUE,true,true,true,true,,,,,,,,,,,,,
Bioshop Cascais,"Bioshop Cascais is a small, organic shop located in Cascais selling a variety of organic and natural products.","Av. 25 de Abril 672, 2750-512 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351 919 039 523,,https://,,pending,Michaele-Initial,,,True,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,
Bomercado,"Bomercado is an organic grocery store offering a variety of vegan products, including fruits, beverages, and gluten-free items, focusing on supporting small producers.","R. dos Cavaleiros 10, 1100-132 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351960302224,bomcliente[@]bomercado.pt,bomercado.pt,@bomercado247,pending,Michaele-Initial,38.71804,-9.13282,True,true,true,true,true,true,true,true,,true,true,,,,,,,,,,,,,,
Cayuveg,This small Cascais producer offers handcrafted vegan cheese and fermented products. Available at local farmers markets.,"Estoril, Portugal",Estoril,Lisbon,Portugal,Cascais,grocery,936397766,,,@cayuveg,pending,Michaele-Initial,38.6979,-9.4223,True,true,true,,true,true,true,,,true,,,,,,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Estrada Nacional 9, 2645-543 Alcabideche, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351214607304,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.73959,-9.39902,True,true,true,true,true,true,,,true,true,true,true,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Praça Alvalade 6 14, 1700-036 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351210106735,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.75433,-9.14471,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. de Roma 12, 1000-298 Lisboa, Portugal",Lisbon,LIsbon,Portugal,Lisbon,grocery,+351218486908,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.74415,-9.13489,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. da República 83C, 1050-190 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351217952823,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.74356,-9.14815,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. Duque de Ávila 141B, 1050-053 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351967858091,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.73611,-9.14676,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. António Augusto de Aguiar 130A, 1050-020 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351917059965,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.76973,-9.15819,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. Abílio Mendes 16A 1500, 1500-458 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351969105572,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.75005,-9.17726,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. Morais Soares 83 A, 1900-342 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351218141913,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.73418,-9.12978,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. 1º de Dezembro 65, 1200-357 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351210306030,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.71461,-9.13095,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. Eng. Vieira da Silva 3A, 1050-250 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.73351.,-9.14523,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. Fontes Pereira de Melo 42 E, 1050-250 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351212696483,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.7365,-9.14395,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Alameda das Linhas de Torres n 169, 1750-142 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351917059965,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.77372,-915905,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. Cidade de Bolama 17, 1800-079 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351218515063,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.77157,-9.11236,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. 4 de Infantaria 34, 1350-273 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351213971648,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.72472,-9.16454,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Avenida Lusíada, C. C. Colombo - Loja 0.051/0.052, 1500-392 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351217111005,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.76113,-9.18823,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. Eng. Duarte Pacheco 1131, 1070-103 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351210177800,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.73082,-9.16042,True,true,true,true,true,true,,TRUE,true,true,true,,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Alameda António Sérgio, 69 Centro Comercial Torre das Flores, Lojas 21 e 23, 2795-024 Linda-a-Velha, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351214140589,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.7235,-9.23521,True,true,true,true,true,true,TRUE,TRUE,true,true,true,true,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","Av. António Bernardo Cabral de Macedo 42, 2770-219 Paço de Arcos, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351214460786,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.7064,-9.30175,True,true,true,true,true,true,TRUE,TRUE,true,true,true,true,,,TRUE,,,,,,,,,,
Celeiro,"Health food chain with select locations offering bulk bins for grains, dried fruits, and other pantry staples.","R. Alto do Forte IC 19 Loja 0.16, 2635-018 Rio de Mouro, Portugal",Sintra,Lisbon,Portugal,Sintra,grocery,+351211513569,celeiro.forumviseu@celeiro.pt,celeiro.pt,@celiero.pt,pending,Michaele-Initial,38.79011,-9.33316,True,true,true,true,true,true,TRUE,TRUE,true,true,true,true,,,TRUE,,,,,,,,,,
Continente,Large supermarket chain with a wide range of fresh vegetables including local and organic selections.,"Estrada Nacional Nº 9 118, 2645-543 Alcabideche, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351214600005,apoiocliente@continente.pt,continente.pt,@continente,pending,Michaele-Initial,38.73982,-9.39872,True,true,true,true,true,true,true,,,true,true,,,,,,,,,,,,,,
Continente,Large supermarket chain with a wide range of fresh vegetables including local and organic selections.,"Colombo Shopping Centre, Av. Lusíada, 1500-392 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351217113800,apoiocliente@continente.pt,continente.pt,@continente,pending,Michaele-Initial,38.75868,-9.18935,True,true,true,true,true,true,,true,,true,true,,,will do in a pinch!,,,,,,,,,,,
